7z	application/x-7z-compressed
	application/x-7z-compressed-tar
ace	application/x-ace
alz	application/x-alz
-	application/x-ar
arj	application/x-arj
-	application/x-bzip
tar.bz,tar.bz2,tbz,tbz2	application/x-bzip-compressed-tar
-	application/x-bzip1
-	application/x-bzip1-compressed-tar
cab	application/x-cabinet
-	application/x-cbr
-	application/x-cbz
iso	application/x-cd-image
-	application/x-compress
tar.gz,tgz,taz	application/x-compressed-tar
cpio	application/x-cpio
deb	application/x-deb
ear	application/x-ear
tar,gtar,gem	application/x-gtar
-	application/x-gzip
-	application/x-gzpostscript
jar	application/x-java-archive
lha	application/x-lha
lhz	application/x-lhz
lrz	application/x-lrzip
tar.lrz,tlrz	application/x-lrzip-compressed-tar
lz	application/x-lzip
	application/x-lzip-compressed-tar
-	application/x-lzma
tar.lzma,tlz	application/x-lzma-compressed-tar
lzo	application/x-lzop
	application/x-lzop-compressed-tar
wim	application/x-ms-wim
rar	application/x-rar
rar	application/x-rar-compressed
rpm	application/x-rpm
	application/x-rzip
tar	application/x-tar
	application/x-tarz
tar.lzo,tzo	application/x-tzo
	application/x-stuffit
war	application/x-war
-	application/x-xz
tar.xz,txz	application/x-xz-compressed-tar
zip	application/x-zip
zip	application/x-zip-compressed
zip	application/zip
zoo	application/x-zoo
